RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
BAT0850708_BOD0850708,Msg,BA_CAN,0x85,ACM_CRASH_INFO,CHKSM_CRASH_Sts,7,8,,Body_CAN,0x85,ACM_CRASH_INFO,CHKSM_CRASH_Sts,7,8,,SCF0
BAT0851104_BOD0851104,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ALV_CRASH_Sts,11,4,,Body_CAN,0x85,ACM_CRASH_INFO,ALV_CRASH_Sts,11,4,,SCF0
BAT0851802_BOD0851802,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Sts,18,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Sts,18,2,,SCF0
BAT0852002_BOD0852002,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_Airbag_Deployment_Status,20,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Airbag_Deployment_Status,20,2,,SCF0
BAT0852303_BOD0852303,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Intensity,23,3,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Intensity,23,3,,SCF0
BAT0852502_BOD0852502,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_Front_Crash,25,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Front_Crash,25,2,,SCF0
BAT0852702_BOD0852702,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_DriverSide_Crash,27,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_DriverSide_Crash,27,2,,SCF0
BAT0852902_BOD0852902,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_PassSide_Crash,29,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_PassSide_Crash,29,2,,SCF0
BAT0853102_BOD0853102,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_Rear_Crash,31,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Rear_Crash,31,2,,SCF0
BAT0853302_BOD0853302,Msg,BA_CAN,0x85,ACM_CRASH_INFO,ACM_Rollover_Crash,33,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Rollover_Crash,33,2,,SCF0
BAT10A0708_BOD10A0708,Msg,BA_CAN,0x10a,BCM_VOLTAGE,CHKSM_BCM_VOLTAGE,7,8,,Body_CAN,0x10a,BCM_VOLTAGE,CHKSM_BCM_VOLTAGE,7,8,,SCF0
BAT10A1104_BOD10A1104,Msg,BA_CAN,0x10a,BCM_VOLTAGE,ALIVE_BCM_VOLTAGE,11,4,,Body_CAN,0x10a,BCM_VOLTAGE,ALIVE_BCM_VOLTAGE,11,4,,SCF0
BAT10A2314_BOD10A2314,Msg,BA_CAN,0x10a,BCM_VOLTAGE,UBatt,23,14,,Body_CAN,0x10a,BCM_VOLTAGE,UBatt,23,14,,SCF0
BAT10A3908_BOD10A3908,Msg,BA_CAN,0x10a,BCM_VOLTAGE,LV_Batt_Temp,39,8,,Body_CAN,0x10a,BCM_VOLTAGE,LV_Batt_Temp,39,8,,SCF0
BAT10A4708_BOD10A4708,Msg,BA_CAN,0x10a,BCM_VOLTAGE,LV_SOC,47,8,,Body_CAN,0x10a,BCM_VOLTAGE,LV_SOC,47,8,,SCF0
BAT10A5516_BOD10A5516,Msg,BA_CAN,0x10a,BCM_VOLTAGE,LV_Batt_Current,55,16,,Body_CAN,0x10a,BCM_VOLTAGE,LV_Batt_Current,55,16,,SCF0
BAT1120708_BOD1120708,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,CHKSM_BCM_CLAMP_STAT,7,8,,Body_CAN,0x112,BCM_CLAMP_STAT,CHKSM_BCM_CLAMP_STAT,7,8,,SCF0
BAT1121104_BOD1121104,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,ALIVE_BCM_CLAMP_STAT,11,4,,Body_CAN,0x112,BCM_CLAMP_STAT,ALIVE_BCM_CLAMP_STAT,11,4,,SCF0
BAT1121302_BOD1121302,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,RemoteFunctionState,13,2,,Body_CAN,0x112,BCM_CLAMP_STAT,RemoteFunctionState,13,2,,SCF0
BAT1121502_BOD1121502,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_BLS,15,2,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_BLS,15,2,,SCF0
BAT1121702_BOD1121702,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_50_L,17,2,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_50_L,17,2,,SCF0
BAT1121902_BOD1121902,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,Clamp50AdviceRemoteStart,19,2,,Body_CAN,0x112,BCM_CLAMP_STAT,Clamp50AdviceRemoteStart,19,2,,SCF0
BAT1122102_BOD1122102,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,Clamp50AdviceESS,21,2,,Body_CAN,0x112,BCM_CLAMP_STAT,Clamp50AdviceESS,21,2,,SCF0
BAT1122502_BOD1122502,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_R_L,25,2,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_R_L,25,2,,SCF0
BAT1122702_BOD1122702,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_15_1_L,27,2,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_15_1_L,27,2,,SCF0
BAT1122902_BOD1122902,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_15_1_DME_L,29,2,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_CL_15_1_DME_L,29,2,,SCF0
BAT1123102_BOD1123102,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,FobId,31,2,,Body_CAN,0x112,BCM_CLAMP_STAT,FobId,31,2,,SCF0
BAT1123403_BOD1123403,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_Terminal,34,3,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_Terminal,34,3,,SCF0
BAT1123602_BOD1123602,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,STAT_CL30_C_BEV,36,2,,Body_CAN,0x112,BCM_CLAMP_STAT,STAT_CL30_C_BEV,36,2,,SCF0
BAT1123903_BOD1123903,Msg,BA_CAN,0x112,BCM_CLAMP_STAT,BCM_Clamp_Transport,39,3,,Body_CAN,0x112,BCM_CLAMP_STAT,BCM_Clamp_Transport,39,3,,SCF0
BAT1A10708_PWT1A10708,Msg,BA_CAN,0x1a1,IDB_V_VEH,CHSKM_V_VEH,7,8,,PT_CAN,0x1a1,IDB_V_VEH,CHSKM_V_VEH,7,8,,SCF0
BAT1A11104_PWT1A11104,Msg,BA_CAN,0x1a1,IDB_V_VEH,ALIV_V_VEH,11,4,,PT_CAN,0x1a1,IDB_V_VEH,ALIV_V_VEH,11,4,,SCF0
BAT1A12316_PWT1A12316,Msg,BA_CAN,0x1a1,IDB_V_VEH,V_VEH_COG,23,16,,PT_CAN,0x1a1,IDB_V_VEH,V_VEH_COG,23,16,,SCF0
BAT1A13503_PWT1A13503,Msg,BA_CAN,0x1a1,IDB_V_VEH,DVCO_VEH,35,3,,PT_CAN,0x1a1,IDB_V_VEH,DVCO_VEH,35,3,,SCF0
BAT1A13904_PWT1A13904,Msg,BA_CAN,0x1a1,IDB_V_VEH,QU_V_VEH_COG,39,4,,PT_CAN,0x1a1,IDB_V_VEH,QU_V_VEH_COG,39,4,,SCF0
BAT1F80708_PWT1F80708,Msg,BA_CAN,0x1f8,EDS_OutPut_FR,CHKSM_EDS_OutPut_FR,7,8,,PT_CAN,0x1f8,EDS_OutPut_FR,CHKSM_EDS_OutPut_FR,7,8,,SCF0
BAT1F81104_PWT1F81104,Msg,BA_CAN,0x1f8,EDS_OutPut_FR,ALV_EDS_OutPut_FR,11,4,,PT_CAN,0x1f8,EDS_OutPut_FR,ALV_EDS_OutPut_FR,11,4,,SCF0
BAT1F81504_PWT1F81504,Msg,BA_CAN,0x1f8,EDS_OutPut_FR,EDS_Work_STS_FR,15,4,,PT_CAN,0x1f8,EDS_OutPut_FR,EDS_Work_STS_FR,15,4,,SCF0
