RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
BOD0950708_PWT0950708,Msg,Body_CAN,0x95,IDB_FUNCTION,CHKSM_IDB_FUNCTION,7,8,,PT_CAN,0x95,IDB_FUNCTION,CHKSM_IDB_FUNCTION,7,8,,SCF0
BOD0951104_PWT0951104,Msg,Body_CAN,0x95,IDB_FUNCTION,ALV_IDB_FUNCTION,11,4,,PT_CAN,0x95,IDB_FUNCTION,ALV_IDB_FUNCTION,11,4,,SCF0
BOD0951302_PWT0951302,Msg,Body_CAN,0x95,IDB_FUNCTION,STAT_ABS,13,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_ABS,13,2,,SCF0
BOD0951502_PWT0951502,Msg,Body_CAN,0x95,IDB_FUNCTION,ABS_Active,15,2,,PT_CAN,0x95,IDB_FUNCTION,ABS_Active,15,2,,SCF0
BOD0951702_PWT0951702,Msg,Body_CAN,0x95,IDB_FUNCTION,AYC_Active,17,2,,PT_CAN,0x95,IDB_FUNCTION,AYC_Active,17,2,,SCF0
BOD0951902_PWT0951902,Msg,Body_CAN,0x95,IDB_FUNCTION,ASR_Active,19,2,,PT_CAN,0x95,IDB_FUNCTION,ASR_Active,19,2,,SCF0
BOD0952102_PWT0952102,Msg,Body_CAN,0x95,IDB_FUNCTION,STAT_DSC,21,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_DSC,21,2,,SCF0
BOD0952302_PWT0952302,Msg,Body_CAN,0x95,IDB_FUNCTION,DSC_Active,23,2,,PT_CAN,0x95,IDB_FUNCTION,DSC_Active,23,2,,SCF0
BOD0952502_PWT0952502,Msg,Body_CAN,0x95,IDB_FUNCTION,HBA_ActiveSignal,25,2,,PT_CAN,0x95,IDB_FUNCTION,HBA_ActiveSignal,25,2,,SCF0
BOD0952702_PWT0952702,Msg,Body_CAN,0x95,IDB_FUNCTION,ARM_ActiveSignal,27,2,,PT_CAN,0x95,IDB_FUNCTION,ARM_ActiveSignal,27,2,,SCF0
BOD0952902_PWT0952902,Msg,Body_CAN,0x95,IDB_FUNCTION,STAT_AutoHazardBlinking,29,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_AutoHazardBlinking,29,2,,SCF0
BOD0953102_PWT0953102,Msg,Body_CAN,0x95,IDB_FUNCTION,MSR_Active,31,2,,PT_CAN,0x95,IDB_FUNCTION,MSR_Active,31,2,,SCF0
BOD0953302_PWT0953302,Msg,Body_CAN,0x95,IDB_FUNCTION,HSA_ActiveSignal,33,2,,PT_CAN,0x95,IDB_FUNCTION,HSA_ActiveSignal,33,2,,SCF0
BOD0953502_PWT0953502,Msg,Body_CAN,0x95,IDB_FUNCTION,EPBi_ECD_ActiveSignal,35,2,,PT_CAN,0x95,IDB_FUNCTION,EPBi_ECD_ActiveSignal,35,2,,SCF0
BOD0953702_PWT0953702,Msg,Body_CAN,0x95,IDB_FUNCTION,TSM_Active,37,2,,PT_CAN,0x95,IDB_FUNCTION,TSM_Active,37,2,,SCF0
BOD0954102_PWT0954102,Msg,Body_CAN,0x95,IDB_FUNCTION,HAS_Available,41,2,,PT_CAN,0x95,IDB_FUNCTION,HAS_Available,41,2,,SCF0
BOD0954302_PWT0954302,Msg,Body_CAN,0x95,IDB_FUNCTION,STAT_EBD,43,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_EBD,43,2,,SCF0
BOD0954502_PWT0954502,Msg,Body_CAN,0x95,IDB_FUNCTION,EBD_Active,45,2,,PT_CAN,0x95,IDB_FUNCTION,EBD_Active,45,2,,SCF0
BOD0955504_PWT0955504,Msg,Body_CAN,0x95,IDB_FUNCTION,ST_BRG_MSA,55,4,,PT_CAN,0x95,IDB_FUNCTION,ST_BRG_MSA,55,4,,SCF0
BOD0D90708_PWT0D90708,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,CRC_VCU_HV_DrvSys_status,7,8,,PT_CAN,0xd9,VCU_HV_DrvSys_status,CRC_VCU_HV_DrvSys_status,7,8,,SCF0
BOD0D91104_PWT0D91104,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,ALIV_VCU_HV_DrvSys_status,11,4,,PT_CAN,0xd9,VCU_HV_DrvSys_status,ALIV_VCU_HV_DrvSys_status,11,4,,SCF0
BOD0D91403_PWT0D91403,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HVsystem_status,14,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HVsystem_status,14,3,,SCF0
BOD0D92312_PWT0D92312,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent,23,12,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent,23,12,,SCF0
BOD0D92701_PWT0D92701,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent_Valid,27,1,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent_Valid,27,1,,SCF0
BOD0D93403_PWT0D93403,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGear,34,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGear,34,3,,SCF0
BOD0D93501_PWT0D93501,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGearValid,35,1,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGearValid,35,1,,SCF0
BOD0D93803_PWT0D93803,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode,38,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode,38,3,,SCF0
BOD0D93901_PWT0D93901,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode_Valid,39,1,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode_Valid,39,1,,SCF0
BOD0D94303_PWT0D94303,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HV_DRVsystem_status,43,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HV_DRVsystem_status,43,3,,SCF0
BOD0D94502_PWT0D94502,Msg,Body_CAN,0xd9,VCU_HV_DrvSys_status,VCU_Recu_BrakeLight_ON_Req,45,2,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_Recu_BrakeLight_ON_Req,45,2,,SCF0
BOD1000708_INF1000708,Msg,Body_CAN,0x100,MHU_Vehicle_Info,CHKSM_MHU_VEH_INFO,7,8,,Info_CAN,0x100,MHU_Vehicle_Info,CHKSM_MHU_VEH_INFO,7,8,,SCF0
BOD1001104_INF1001104,Msg,Body_CAN,0x100,MHU_Vehicle_Info,ALV_MHU_VEH_INFO,11,4,,Info_CAN,0x100,MHU_Vehicle_Info,ALV_MHU_VEH_INFO,11,4,,SCF0
BOD1002304_INF1002304,Msg,Body_CAN,0x100,MHU_Vehicle_Info,MHU_UserProfileId,23,4,,Info_CAN,0x100,MHU_Vehicle_Info,MHU_UserProfileId,23,4,,SCF0
BOD1004703_INF1004703,Msg,Body_CAN,0x100,MHU_Vehicle_Info,MHU_Connectivity_Status,47,3,,Info_CAN,0x100,MHU_Vehicle_Info,MHU_Connectivity_Status,47,3,,SCF0
BOD10D0302_INF10D0302,Msg,Body_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_APM_ReqWindow,3,2,,Info_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_APM_ReqWindow,3,2,,SCF0
BOD10D0502_INF10D0502,Msg,Body_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_RemoteDoorCtrl,5,2,,Info_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_RemoteDoorCtrl,5,2,,SCF0
BOD10D0702_INF10D0702,Msg,Body_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_reqTrunk,7,2,,Info_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_reqTrunk,7,2,,SCF0
BOD10D0902_INF10D0902,Msg,Body_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_reqFrunk,9,2,,Info_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_reqFrunk,9,2,,SCF0
BOD10D2308_INF10D2308,Msg,Body_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_ReqSunroof,23,8,,Info_CAN,0x10d,MHU_BCM_DoorsCtrl,MHU_BCM_ReqSunroof,23,8,,SCF0
BOD10D5516_INF10D5516,Msg,Body_CAN,0x10d,MHU_BCM_DoorsCtrl,TBOX_AuthCode_0x10D,55,16,,Info_CAN,0x10d,MHU_BCM_DoorsCtrl,TBOX_AuthCode_0x10D,55,16,,SCF0
BOD10F0302_INF10F0302,Msg,Body_CAN,0x10f,MHU_BCM_HornLightControl,MHU_SetHornOnOff,3,2,,Info_CAN,0x10f,MHU_BCM_HornLightControl,MHU_SetHornOnOff,3,2,,SCF0
BOD10F0502_INF10F0502,Msg,Body_CAN,0x10f,MHU_BCM_HornLightControl,MHU_SetLowBeam,5,2,,Info_CAN,0x10f,MHU_BCM_HornLightControl,MHU_SetLowBeam,5,2,,SCF0
BOD10F0702_INF10F0702,Msg,Body_CAN,0x10f,MHU_BCM_HornLightControl,MHU_SetHighBeam,7,2,,Info_CAN,0x10f,MHU_BCM_HornLightControl,MHU_SetHighBeam,7,2,,SCF0
BOD10F5516_INF10F5516,Msg,Body_CAN,0x10f,MHU_BCM_HornLightControl,TBOX_AuthCode_0x10F,55,16,,Info_CAN,0x10f,MHU_BCM_HornLightControl,TBOX_AuthCode_0x10F,55,16,,SCF0
BOD11A0502_INF11A0502,Msg,Body_CAN,0x11a,MHU_ServiceMode_Setting,MHU_SET_WiperServicePositionMod,5,2,,Info_CAN,0x11a,MHU_ServiceMode_Setting,MHU_SET_WiperServicePositionMod,5,2,,SCF0
BOD11A0702_INF11A0702,Msg,Body_CAN,0x11a,MHU_ServiceMode_Setting,MHU_Read_KeyFobOnCenterConsole,7,2,,Info_CAN,0x11a,MHU_ServiceMode_Setting,MHU_Read_KeyFobOnCenterConsole,7,2,,SCF0
BOD11B0703_INF11B0703,Msg,Body_CAN,0x11b,MHU_BCM_RemoteClampCtrl,TBOX_STAT_TerminalReq,7,3,,Info_CAN,0x11b,MHU_BCM_RemoteClampCtrl,TBOX_STAT_TerminalReq,7,3,,SCF0
BOD11B5516_INF11B5516,Msg,Body_CAN,0x11b,MHU_BCM_RemoteClampCtrl,TBOX_AuthCode_0x11B,55,16,,Info_CAN,0x11b,MHU_BCM_RemoteClampCtrl,TBOX_AuthCode_0x11B,55,16,,SCF0
BOD11C0703_INF11C0703,Msg,Body_CAN,0x11c,MHU_BCM_FOTAClampCtrl,TBOX_FOTA_STAT_TerminalReq,7,3,,Info_CAN,0x11c,MHU_BCM_FOTAClampCtrl,TBOX_FOTA_STAT_TerminalReq,7,3,,SCF0
BOD11F1302_INF11F1302,Msg,Body_CAN,0x11F,MHU_BCM_Ctrl,MHU_DrvInhibitSts,13,2,,Info_CAN,0x11F,MHU_BCM_Ctrl,MHU_DrvInhibitSts,13,2,,SCF0
BOD11F5516_INF11F5516,Msg,Body_CAN,0x11F,MHU_BCM_Ctrl,TBOX_AuthCode_0x11F,55,16,,Info_CAN,0x11F,MHU_BCM_Ctrl,TBOX_AuthCode_0x11F,55,16,,SCF0
BOD1670716_PWT1670716,Msg,Body_CAN,0x167,VCU_TWV1_Frm,TWV1_N_Position,7,16,,PT_CAN,0x167,VCU_TWV1_Frm,TWV1_N_Position,7,16,,SCF0
BOD1672316_PWT1672316,Msg,Body_CAN,0x167,VCU_TWV1_Frm,TWV1_St_Feedback,23,16,,PT_CAN,0x167,VCU_TWV1_Frm,TWV1_St_Feedback,23,16,,SCF0
BOD1673901_PWT1673901,Msg,Body_CAN,0x167,VCU_TWV1_Frm,TWV1_Frm_Error,39,1,,PT_CAN,0x167,VCU_TWV1_Frm,TWV1_Frm_Error,39,1,,SCF0
BOD1780708_CHA1780708,Msg,Body_CAN,0x178,YSS_LongAcc,CHKSM_YSS_LongAcc,7,8,,Chassis_CAN,0x178,YSS_LongAcc,CHKSM_YSS_LongAcc,7,8,,SCF0
BOD1781104_CHA1781104,Msg,Body_CAN,0x178,YSS_LongAcc,ALV_YSS_LongAcc,11,4,,Chassis_CAN,0x178,YSS_LongAcc,ALV_YSS_LongAcc,11,4,,SCF0
BOD1781504_CHA1781504,Msg,Body_CAN,0x178,YSS_LongAcc,YSS_LONG_ACCUNFILTERED_QUAL,15,4,,Chassis_CAN,0x178,YSS_LongAcc,YSS_LONG_ACCUNFILTERED_QUAL,15,4,,SCF0
