RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
CHA1070708_BOD1070708,Msg,Chassis_CAN,0x107,BCM_STAT_CENTRAL_LOCK,CHKSM_BCM_CENTRAL_LOCK,7,8,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,CHKSM_BCM_CENTRAL_LOCK,7,8,,SCF0
CHA1071104_BOD1071104,Msg,Chassis_CAN,0x107,BCM_STAT_CENTRAL_LOCK,ALV_BCM_CENTRAL_LOCK,11,4,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,ALV_BCM_CENTRAL_LOCK,11,4,,SCF0
CHA1071502_BOD1071502,Msg,Chassis_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_CDL_LED,15,2,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_CDL_LED,15,2,,SCF0
CHA1071702_BOD1071702,Msg,Chassis_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorUnlockFL,17,2,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorUnlockFL,17,2,,SCF0
CHA1072003_BOD1072003,Msg,Chassis_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_ATWS,20,3,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_ATWS,20,3,,SCF0
CHA1072302_BOD1072302,Msg,Chassis_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorLockFL,23,2,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorLockFL,23,2,,SCF0
CHA10A0708_BOD10A0708,Msg,Chassis_CAN,0x10a,BCM_VOLTAGE,CHKSM_BCM_VOLTAGE,7,8,,Body_CAN,0x10a,BCM_VOLTAGE,CHKSM_BCM_VOLTAGE,7,8,,SCF0
CHA10A1104_BOD10A1104,Msg,Chassis_CAN,0x10a,BCM_VOLTAGE,ALIVE_BCM_VOLTAGE,11,4,,Body_CAN,0x10a,BCM_VOLTAGE,ALIVE_BCM_VOLTAGE,11,4,,SCF0
CHA10A2314_BOD10A2314,Msg,Chassis_CAN,0x10a,BCM_VOLTAGE,UBatt,23,14,,Body_CAN,0x10a,BCM_VOLTAGE,UBatt,23,14,,SCF0
CHA10A3908_BOD10A3908,Msg,Chassis_CAN,0x10a,BCM_VOLTAGE,LV_Batt_Temp,39,8,,Body_CAN,0x10a,BCM_VOLTAGE,LV_Batt_Temp,39,8,,SCF0
CHA10A4708_BOD10A4708,Msg,Chassis_CAN,0x10a,BCM_VOLTAGE,LV_SOC,47,8,,Body_CAN,0x10a,BCM_VOLTAGE,LV_SOC,47,8,,SCF0
