RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
DIA6010708_BOD6010708,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData0,7,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData0,7,8,,SCF0
DIA6011508_BOD6011508,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData1,15,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData1,15,8,,SCF0
DIA6012308_BOD6012308,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData2,23,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData2,23,8,,SCF0
DIA6013108_BOD6013108,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData3,31,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData3,31,8,,SCF0
DIA6013908_BOD6013908,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData4,39,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData4,39,8,,SCF0
DIA6014708_BOD6014708,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData5,47,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData5,47,8,,SCF0
DIA6015508_BOD6015508,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData6,55,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData6,55,8,,SCF0
DIA6016308_BOD6016308,Msg,Diag_CAN,0x601,BCM_DiagResp,BCM_DiagRespData7,63,8,,Body_CAN,0x601,BCM_DiagResp,BCM_DiagRespData7,63,8,,SCF0
DIA6040708_INF6040708,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData0,7,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData0,7,8,,SCF0
DIA6041508_INF6041508,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData1,15,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData1,15,8,,SCF0
DIA6042308_INF6042308,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData2,23,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData2,23,8,,SCF0
DIA6043108_INF6043108,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData3,31,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData3,31,8,,SCF0
DIA6043908_INF6043908,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData4,39,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData4,39,8,,SCF0
DIA6044708_INF6044708,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData5,47,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData5,47,8,,SCF0
DIA6045508_INF6045508,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData6,55,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData6,55,8,,SCF0
DIA6046308_INF6046308,Msg,Diag_CAN,0x604,MHU_DiagResp,MHU_DiagRespData7,63,8,,Info_CAN,0x604,MHU_DiagResp,MHU_DiagRespData7,63,8,,SCF0
