RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
INF0850708_BOD0850708,Msg,Info_CAN,0x85,ACM_CRASH_INFO,CHKSM_CRASH_Sts,7,8,,Body_CAN,0x85,ACM_CRASH_INFO,CHKSM_CRASH_Sts,7,8,,SCF0
INF0851104_BOD0851104,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ALV_CRASH_Sts,11,4,,Body_CAN,0x85,ACM_CRASH_INFO,ALV_CRASH_Sts,11,4,,SCF0
INF0851802_BOD0851802,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Sts,18,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Sts,18,2,,SCF0
INF0852002_BOD0852002,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_Airbag_Deployment_Status,20,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Airbag_Deployment_Status,20,2,,SCF0
INF0852303_BOD0852303,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Intensity,23,3,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Intensity,23,3,,SCF0
INF0852502_BOD0852502,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_Front_Crash,25,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Front_Crash,25,2,,SCF0
INF0852702_BOD0852702,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_DriverSide_Crash,27,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_DriverSide_Crash,27,2,,SCF0
INF0852902_BOD0852902,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_PassSide_Crash,29,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_PassSide_Crash,29,2,,SCF0
INF0853102_BOD0853102,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_Rear_Crash,31,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Rear_Crash,31,2,,SCF0
INF0853302_BOD0853302,Msg,Info_CAN,0x85,ACM_CRASH_INFO,ACM_Rollover_Crash,33,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Rollover_Crash,33,2,,SCF0
INF0930708_PWT0930708,Msg,Info_CAN,0x93,IDB_MILEAGE,CHKSM_MILEAGE,7,8,,PT_CAN,0x93,IDB_MILEAGE,CHKSM_MILEAGE,7,8,,SCF0
INF0931104_PWT0931104,Msg,Info_CAN,0x93,IDB_MILEAGE,ALIVE_MILEAGE,11,4,,PT_CAN,0x93,IDB_MILEAGE,ALIVE_MILEAGE,11,4,,SCF0
INF0932316_PWT0932316,Msg,Info_CAN,0x93,IDB_MILEAGE,Mileage,23,16,,PT_CAN,0x93,IDB_MILEAGE,Mileage,23,16,,SCF0
INF0950708_PWT0950708,Msg,Info_CAN,0x95,IDB_FUNCTION,CHKSM_IDB_FUNCTION,7,8,,PT_CAN,0x95,IDB_FUNCTION,CHKSM_IDB_FUNCTION,7,8,,SCF0
INF0951104_PWT0951104,Msg,Info_CAN,0x95,IDB_FUNCTION,ALV_IDB_FUNCTION,11,4,,PT_CAN,0x95,IDB_FUNCTION,ALV_IDB_FUNCTION,11,4,,SCF0
INF0951302_PWT0951302,Msg,Info_CAN,0x95,IDB_FUNCTION,STAT_ABS,13,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_ABS,13,2,,SCF0
INF0951702_PWT0951702,Msg,Info_CAN,0x95,IDB_FUNCTION,AYC_Active,17,2,,PT_CAN,0x95,IDB_FUNCTION,AYC_Active,17,2,,SCF0
INF0951902_PWT0951902,Msg,Info_CAN,0x95,IDB_FUNCTION,ASR_Active,19,2,,PT_CAN,0x95,IDB_FUNCTION,ASR_Active,19,2,,SCF0
INF0952102_PWT0952102,Msg,Info_CAN,0x95,IDB_FUNCTION,STAT_DSC,21,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_DSC,21,2,,SCF0
INF0952302_PWT0952302,Msg,Info_CAN,0x95,IDB_FUNCTION,DSC_Active,23,2,,PT_CAN,0x95,IDB_FUNCTION,DSC_Active,23,2,,SCF0
INF0952502_PWT0952502,Msg,Info_CAN,0x95,IDB_FUNCTION,HBA_ActiveSignal,25,2,,PT_CAN,0x95,IDB_FUNCTION,HBA_ActiveSignal,25,2,,SCF0
INF0952702_PWT0952702,Msg,Info_CAN,0x95,IDB_FUNCTION,ARM_ActiveSignal,27,2,,PT_CAN,0x95,IDB_FUNCTION,ARM_ActiveSignal,27,2,,SCF0
INF0952902_PWT0952902,Msg,Info_CAN,0x95,IDB_FUNCTION,STAT_AutoHazardBlinking,29,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_AutoHazardBlinking,29,2,,SCF0
INF0953102_PWT0953102,Msg,Info_CAN,0x95,IDB_FUNCTION,MSR_Active,31,2,,PT_CAN,0x95,IDB_FUNCTION,MSR_Active,31,2,,SCF0
INF0953302_PWT0953302,Msg,Info_CAN,0x95,IDB_FUNCTION,HSA_ActiveSignal,33,2,,PT_CAN,0x95,IDB_FUNCTION,HSA_ActiveSignal,33,2,,SCF0
INF0953502_PWT0953502,Msg,Info_CAN,0x95,IDB_FUNCTION,EPBi_ECD_ActiveSignal,35,2,,PT_CAN,0x95,IDB_FUNCTION,EPBi_ECD_ActiveSignal,35,2,,SCF0
INF0953702_PWT0953702,Msg,Info_CAN,0x95,IDB_FUNCTION,TSM_Active,37,2,,PT_CAN,0x95,IDB_FUNCTION,TSM_Active,37,2,,SCF0
INF0954102_PWT0954102,Msg,Info_CAN,0x95,IDB_FUNCTION,HAS_Available,41,2,,PT_CAN,0x95,IDB_FUNCTION,HAS_Available,41,2,,SCF0
INF0954302_PWT0954302,Msg,Info_CAN,0x95,IDB_FUNCTION,STAT_EBD,43,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_EBD,43,2,,SCF0
