RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
PWT0850708_BOD0850708,Msg,PT_CAN,0x85,ACM_CRASH_INFO,CHKSM_CRASH_Sts,7,8,,Body_CAN,0x85,ACM_CRASH_INFO,CHKSM_CRASH_Sts,7,8,,SCF0
PWT0851104_BOD0851104,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ALV_CRASH_Sts,11,4,,Body_CAN,0x85,ACM_CRASH_INFO,ALV_CRASH_Sts,11,4,,SCF0
PWT0851802_BOD0851802,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Sts,18,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Sts,18,2,,SCF0
PWT0852002_BOD0852002,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_Airbag_Deployment_Status,20,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Airbag_Deployment_Status,20,2,,SCF0
PWT0852303_BOD0852303,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Intensity,23,3,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Crash_Intensity,23,3,,SCF0
PWT0852502_BOD0852502,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_Front_Crash,25,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Front_Crash,25,2,,SCF0
PWT0852702_BOD0852702,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_DriverSide_Crash,27,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_DriverSide_Crash,27,2,,SCF0
PWT0852902_BOD0852902,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_PassSide_Crash,29,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_PassSide_Crash,29,2,,SCF0
PWT0853102_BOD0853102,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_Rear_Crash,31,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Rear_Crash,31,2,,SCF0
PWT0853302_BOD0853302,Msg,PT_CAN,0x85,ACM_CRASH_INFO,ACM_Rollover_Crash,33,2,,Body_CAN,0x85,ACM_CRASH_INFO,ACM_Rollover_Crash,33,2,,SCF0
PWT0960708_INF0960708,Msg,PT_CAN,0x96,MHU_IDB_Mode_Select,CHKSM_MHU_IDB_Mode_Select,7,8,,Info_CAN,0x96,MHU_IDB_Mode_Select,CHKSM_MHU_IDB_Mode_Select,7,8,,SCF0
PWT0961104_INF0961104,Msg,PT_CAN,0x96,MHU_IDB_Mode_Select,ALV_MHU_IDB_Mode_Select,11,4,,Info_CAN,0x96,MHU_IDB_Mode_Select,ALV_MHU_IDB_Mode_Select,11,4,,SCF0
PWT0961502_INF0961502,Msg,PT_CAN,0x96,MHU_IDB_Mode_Select,MHU_IDB_Mode_Select_Signal,15,2,,Info_CAN,0x96,MHU_IDB_Mode_Select,MHU_IDB_Mode_Select_Signal,15,2,,SCF0
PWT1000708_INF1000708,Msg,PT_CAN,0x100,MHU_Vehicle_Info,CHKSM_MHU_VEH_INFO,7,8,,Info_CAN,0x100,MHU_Vehicle_Info,CHKSM_MHU_VEH_INFO,7,8,,SCF0
PWT1001104_INF1001104,Msg,PT_CAN,0x100,MHU_Vehicle_Info,ALV_MHU_VEH_INFO,11,4,,Info_CAN,0x100,MHU_Vehicle_Info,ALV_MHU_VEH_INFO,11,4,,SCF0
PWT1002304_INF1002304,Msg,PT_CAN,0x100,MHU_Vehicle_Info,MHU_UserProfileId,23,4,,Info_CAN,0x100,MHU_Vehicle_Info,MHU_UserProfileId,23,4,,SCF0
PWT1004703_INF1004703,Msg,PT_CAN,0x100,MHU_Vehicle_Info,MHU_Connectivity_Status,47,3,,Info_CAN,0x100,MHU_Vehicle_Info,MHU_Connectivity_Status,47,3,,SCF0
PWT1040708_BOD1040708,Msg,PT_CAN,0x104,BAS_Measured_Data,CHKSM_LV_BATT_CHARG,7,8,,Body_CAN,0x104,BAS_Measured_Data,CHKSM_LV_BATT_CHARG,7,8,,SCF0
PWT1041104_BOD1041104,Msg,PT_CAN,0x104,BAS_Measured_Data,ALIV_LV_BATT_CHARG,11,4,,Body_CAN,0x104,BAS_Measured_Data,ALIV_LV_BATT_CHARG,11,4,,SCF0
