RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
XL20060002_BOD2512502,Sig,XGW_LIN2,0x6,DoorRLCommand,NDoorRLCloseInvRequested,0,2,,Body_CAN,0x251,DoorRLCommand,NDoorRLCloseInvRequested,25,2,,SCF0
XL20060202_BOD2512702,Sig,XGW_LIN2,0x6,DoorRLCommand,NDoorRLCloseRequested,2,2,,Body_CAN,0x251,DoorRLCommand,NDoorRLCloseRequested,27,2,,SCF0
XL20060402_BOD2510502,Sig,XGW_LIN2,0x6,DoorRLCommand,NDoorRLOpenInvRequested,4,2,,Body_CAN,0x251,DoorRLCommand,NDoorRLOpenInvRequested,5,2,,SCF0
XL20060602_BOD2510702,Sig,XGW_LIN2,0x6,DoorRLCommand,NDoorRLOpenRequested,6,2,,Body_CAN,0x251,DoorRLCommand,NDoorRLOpenRequested,7,2,,SCF0
XL20060808_BOD2512308,Sig,XGW_LIN2,0x6,DoorRLCommand,NDoorRLCommandCounter,8,8,,Body_CAN,0x251,DoorRLCommand,NDoorRLCommandCounter,23,8,,SCF0
XL201C0002_BOD2232502,Sig,XGW_LIN2,0x1c,DoorFLCommand,NDoorFLCloseInvRequested,0,2,,Body_CAN,0x223,DoorFLCommand,NDoorFLCloseInvRequested,25,2,,SCF0
XL201C0202_BOD2232702,Sig,XGW_LIN2,0x1c,DoorFLCommand,NDoorFLCloseRequested,2,2,,Body_CAN,0x223,DoorFLCommand,NDoorFLCloseRequested,27,2,,SCF0
XL201C0402_BOD2230502,Sig,XGW_LIN2,0x1c,DoorFLCommand,NDoorFLOpenInvRequested,4,2,,Body_CAN,0x223,DoorFLCommand,NDoorFLOpenInvRequested,5,2,,SCF0
XL201C0602_BOD2230702,Sig,XGW_LIN2,0x1c,DoorFLCommand,NDoorFLOpenRequested,6,2,,Body_CAN,0x223,DoorFLCommand,NDoorFLOpenRequested,7,2,,SCF0
XL201C0808_BOD2232308,Sig,XGW_LIN2,0x1c,DoorFLCommand,NDoorFLCommandCounter,8,8,,Body_CAN,0x223,DoorFLCommand,NDoorFLCommandCounter,23,8,,SCF0
XL201E0002_BOD2422502,Sig,XGW_LIN2,0x1e,DoorFRCommand,NDoorFRCloseInvRequested,0,2,,Body_CAN,0x242,DoorFRCommand,NDoorFRCloseInvRequested,25,2,,SCF0
XL201E0202_BOD2422702,Sig,XGW_LIN2,0x1e,DoorFRCommand,NDoorFRCloseRequested,2,2,,Body_CAN,0x242,DoorFRCommand,NDoorFRCloseRequested,27,2,,SCF0
XL201E0402_BOD2420502,Sig,XGW_LIN2,0x1e,DoorFRCommand,NDoorFROpenInvRequested,4,2,,Body_CAN,0x242,DoorFRCommand,NDoorFROpenInvRequested,5,2,,SCF0
XL201E0602_BOD2420702,Sig,XGW_LIN2,0x1e,DoorFRCommand,NDoorFROpenRequested,6,2,,Body_CAN,0x242,DoorFRCommand,NDoorFROpenRequested,7,2,,SCF0
XL201E0808_BOD2422308,Sig,XGW_LIN2,0x1e,DoorFRCommand,NDoorFRCommandCounter,8,8,,Body_CAN,0x242,DoorFRCommand,NDoorFRCommandCounter,23,8,,SCF0
XL202F0002_BOD2912502,Sig,XGW_LIN2,0x2f,DoorRRCommand,NDoorRRCloseInvRequested,0,2,,Body_CAN,0x291,DoorRRCommand,NDoorRRCloseInvRequested,25,2,,SCF0
XL202F0202_BOD2912702,Sig,XGW_LIN2,0x2f,DoorRRCommand,NDoorRRCloseRequested,2,2,,Body_CAN,0x291,DoorRRCommand,NDoorRRCloseRequested,27,2,,SCF0
XL202F0402_BOD2910502,Sig,XGW_LIN2,0x2f,DoorRRCommand,NDoorRROpenInvRequested,4,2,,Body_CAN,0x291,DoorRRCommand,NDoorRROpenInvRequested,5,2,,SCF0
XL202F0602_BOD2910702,Sig,XGW_LIN2,0x2f,DoorRRCommand,NDoorRROpenRequested,6,2,,Body_CAN,0x291,DoorRRCommand,NDoorRROpenRequested,7,2,,SCF0
XL202F0808_BOD2912308,Sig,XGW_LIN2,0x2f,DoorRRCommand,NDoorRRCommandCounter,8,8,,Body_CAN,0x291,DoorRRCommand,NDoorRRCommandCounter,23,8,,SCF0
